Feature	 Category 	 Polarity 
cheese great	food	good
bite size	meal	neutral
contain coconut	food	neutral
not_dessert tart dinner	meal	neutral
not_much staff beaudry	staff	neutral
go service	service	neutral
potato pancake	dish	neutral
brunch much tasty	meal	neutral
food slightly flavourful	food	neutral
bite perfect	meal	good
last bite	meal	neutral
on-site bakery snacking	meal	neutral
croissant butter croissant	food	neutral
quick friendly service	service	good
great meal	meal	good
not_even disappointing	dish	good
nutrient-rich breakfast presentation	meal	neutral
great place breakfast	meal	good
not_huge meal	meal	neutral
not_meal great	meal	bad
salad really	dish	neutral
similar style pizzas	dish	neutral
not_menu tend	menu	neutral
sprouts salad	dish	neutral
not_cake n't	dish	neutral
curry taiwanese	dish	neutral
different tea	meal	neutral
really cool chocolatey	food	good
breakfast stop	meal	neutral
ok service	service	neutral
simple egg salad	dish	neutral
lunch take	meal	neutral
great tea	meal	good
super-cute hipster staff	staff	neutral
not_wait staff service	staff	neutral
cheese bacon chocolate	food	neutral
yummy service	service	neutral
not_brunch combo	meal	neutral
not_eating meat	food	neutral
not_two-piece chicken meal	meal	neutral
not_hot food	food	bad
asparagus brunch	meal	neutral
tea really tasty	meal	neutral
not_refusal alter dish	dish	good
great escape breakfast	meal	good
not_service impeccable	service	bad
vegetarian soup day	dish	neutral
not_table service setting	service	neutral
pretty pricey everything	cost	neutral
great view staff	staff	good
cute place staff	staff	good
extremely tasty staff	staff	neutral
sucre brunch	meal	neutral
service terrible	service	bad
dishes cubain	dish	neutral
porc gruyere cheese	food	neutral
food incredible	food	good
not_salad open	dish	neutral
even offer menu	menu	neutral
food back le	food	neutral
often bite milk	meal	neutral
not_nice food	food	bad
cheese strawberry	food	neutral
conceptual art food	food	neutral
definitely green chili	dish	neutral
not_soup 'm	dish	neutral
good brunch spot	meal	good
not_meal n't	meal	neutral
know staff	staff	neutral
lunch supper numerous	meal	neutral
not_mega-cheesey panini	food	neutral
last supper montreal	meal	neutral
excellent food sweet	food	good
often bite almond	meal	neutral
syrup well cheese	food	good
not_enough place food	food	bad
fantastic service polite	service	good
service willing	service	good
mushrooms cheese	food	neutral
not_breakfast old	meal	neutral
food little	food	neutral
generous meat ratio	food	good
not_true brunch	meal	neutral
not_enough breakfast	meal	bad
attentive service	service	good
certain sweetness tear	meal	good
not_lightly meaty	food	neutral
not_menu n't extensive	menu	neutral
brownies yum chocolate/banana	food	neutral
especially chocolate complaint	dish	bad
not_overpriced quiche	cost	good
service minimal	service	neutral
staff pleasant	staff	good
cheese guava	food	neutral
suitable brunch spot	meal	good
not_butter pizza-	dish	neutral
not_instead cooking	meal	neutral
salads asian	dish	neutral
not_much chocolate trip	food	neutral
sensational service superb	service	good
first brunch ok	meal	neutral
pretty reasonable dinner	meal	good
bagel bite	meal	neutral
chose chocolate raspberry	food	neutral
not_cheesecake honestly	dish	neutral
go staff super	staff	good
cheese croissant	food	neutral
service petite	service	neutral
cult following coconut	food	neutral
salad spicy sauce	dish	neutral
not_breakfast go	meal	neutral
food large	food	neutral
not_quick breakfast sandwich	meal	neutral
filling meal	meal	neutral
brunch sucre tasty	meal	neutral
chocolate spread	meal	neutral
sh*tty service experience	service	neutral
quick staff	staff	neutral
loaf challah	food	neutral
soup-nazi restaurant seinfeld	dish	neutral
onions goat cheese	food	neutral
waiting specialty	dish	neutral
service dining	service	neutral
terms clean	cost	good
fries tasty specially	dish	neutral
fondues come	dish	neutral
especially plain chocolate	dish	neutral
taiwanese sausage dish	dish	neutral
cachitos spinach cheese	food	neutral
reasonable dinner	meal	good
cheese disappointing	dish	bad
average food	food	neutral
excellent food service	food	good
not_tasty service	service	neutral
favourite sushi roll	dish	neutral
eggs goat cheese	food	neutral
good cost	cost	good
quadruple chocolate parfait	food	neutral
not_bad food	food	good
new breakfast burrito	meal	neutral
vegetable soup	dish	neutral
memories chocolate	food	neutral
not_yes simple buttery	food	neutral
munch buttery	food	neutral
really special	dish	neutral
eats lunch	meal	neutral
not_meal breakfastrationale	meal	neutral
rather heavy meal	meal	neutral
great food experience	food	good
not_staff friendly	staff	bad
grabbed food go	food	neutral
second soup	dish	neutral
not_type special	dish	neutral
amazing oatmeal bowl	meal	good
not_chunks fish	food	neutral
female staff	staff	neutral
not_eat breakfast n't	meal	neutral
dinner 're right	meal	good
not_average price	cost	neutral
scrumptious filling service	service	neutral
salad equally fabulous	dish	good
not_layers mousse	dish	neutral
dinner short	meal	neutral
salad amazing fresh	dish	good
not_hard bite	meal	good
meal go counter	meal	neutral
smile staff	staff	good
dressed staff	staff	neutral
main menu	menu	neutral
staff super	staff	good
staff nice	staff	good
not_food taiwanese	food	neutral
soup literally warm	dish	good
classic brunch	meal	good
food edible	food	neutral
not_cost nocochi	cost	neutral
vegetarian lunch	meal	neutral
bit stand-offish	food	neutral
pick loaf bread	food	neutral
not_little pricey	cost	good
not_nice quality tea	meal	bad
steamé instead la	meal	neutral
breakfast next	meal	neutral
actual fish good	food	good
soup favourite	dish	neutral
not_mousse pecan	dish	neutral
not_service n't good	service	bad
not_brunch place	meal	neutral
instead seating customer	meal	neutral
service friendly casual	service	good
almond omelet	dish	neutral
salad roll	dish	neutral
translate menu	menu	neutral
crazy hahastaff kind	staff	bad
ever husband chocolate	food	neutral
chocolate even think	food	neutral
good quick bite	meal	good
mess really fresh	meal	neutral
drink soup	dish	neutral
not_long leisurely brunch	meal	neutral
rejoice food	food	good
not_food terrible	food	good
breakfasts appear quite	meal	neutral
not_real food isnt	food	neutral
seed cheese	food	neutral
breakfast last week	meal	neutral
excellent spot lunch	meal	good
service full	service	neutral
not_ham cheese sandwich	food	neutral
pizza guess idea	dish	neutral
menu generous	menu	good
wish salad	dish	neutral
good staff	staff	good
not_yuzu tea	meal	neutral
not_price high	cost	neutral
soup grainy	dish	bad
food incredibly good	food	good
amazing meal	meal	good
not_pastries cake n't	dish	neutral
not_fresh food	food	bad
tea sooooo	meal	neutral
dinner different	meal	neutral
service well ask	service	good
not_want breakfast montreal	meal	neutral
great music service	service	good
especially cheese	dish	neutral
still great lunch	meal	good
highly recommend dish	dish	good
not_serving breakfast	meal	neutral
disappointment huge	dish	bad
yogurt consistency	food	neutral
smoked meat	food	neutral
service awesome	service	good
venezuelan food	food	neutral
friends dish	dish	neutral
not_breakfast place	meal	neutral
not_wanted lunch following	meal	neutral
bean salad	dish	neutral
food classic	food	good
not_sure lunch	meal	neutral
healthful lunch	meal	good
pudding bourbon	dish	neutral
watching food	food	neutral
seasoned staff kind	staff	good
bite apple	meal	neutral
fries side salad	dish	neutral
alongside tea	meal	neutral
tea good	meal	good
soups bakery	dish	neutral
service friendly efficient	service	good
service really quick	service	neutral
half way service	service	neutral
not_alter dish way	dish	neutral
next day breakfast/brunch	meal	neutral
food 'm	food	neutral
chili corn	dish	neutral
amount cheese	food	neutral
impressive pile food	food	good
not_bad avoid brunch	meal	good
menu mainly consisting	menu	neutral
window especially big	dish	neutral
fall-almost-winter meal squash	meal	bad
healthy breakfast	meal	good
sticky date pudding	dish	bad
goodservice friendly	service	good
jose staff	staff	neutral
not_service extremely friendly	service	bad
not_instead standard	meal	neutral
sites possibly dinner	meal	neutral
especially lunch time	meal	neutral
service atmosphere charming	service	good
frequent brunch diner	meal	neutral
not_family dinner n't	meal	neutral
cheese pork	food	neutral
meats big+ in-decisiveness	food	neutral
cheese ham	food	neutral
meal mekong	meal	neutral
night feasting savory	meal	neutral
prices make aux	cost	neutral
not_smallish lunch	meal	good
service still waiting	service	neutral
first lunch	meal	neutral
soup side salad	dish	neutral
not_peanut butter	food	neutral
not_salad distinct	dish	neutral
grilled cheese sandwich	food	neutral
talking menu	menu	neutral
sante brunch	meal	neutral
not_regret meal	meal	good
carrot cake	dish	neutral
sense going especially	dish	neutral
special tea	meal	neutral
lunch place montreal	meal	neutral
great food 'm	food	good
butter french	food	neutral
dishes duluth restaurant	dish	neutral
super-nice staff wifi	staff	neutral
several food	food	neutral
menu many	menu	neutral
not_food register n't	food	neutral
granola yogurt fruit	food	neutral
service professional	service	neutral
overall ambiance staff	staff	neutral
stew fejaoda steak	meal	bad
stuffed chocolate and/or	food	neutral
low-priced table service	cost	good
green chili thai	dish	neutral
apricot coconut	food	neutral
still warm yogurt	food	good
food getting cold	food	bad
excellent breakfast	meal	good
huge chocolate lover	food	good
comforting meal	meal	good
disappointing almond	dish	bad
not_surprisingly messy	meal	good
however warm chocolate	food	good
croissant end meal	meal	neutral
not_excellentthe service	service	neutral
small specialty	dish	neutral
golden buttery flaky	food	neutral
salad vegetable	dish	neutral
excellent brunch	meal	good
wonderful staff	staff	good
cheesecakei always take	dish	neutral
service pretty horrible	service	neutral
food amazing always	food	good
ham goat cheese	food	neutral
small dissapointment cappuccino	dish	neutral
impressed service	service	good
food visually appealing	food	good
staff rather cold	staff	bad
not_stew deer buffalo	dish	good
eating hospital food	food	neutral
not_good food	food	bad
tried burger steak	meal	neutral
brunch available	meal	good
not_yogurt incredible	food	bad
cheerful staff	staff	good
encouragingly friggin salad	dish	neutral
prices high	cost	neutral
used budget lunch	meal	neutral
chocolate-almond croissant	food	neutral
crepes soups delicious	dish	good
prices 've	cost	neutral
montreal especially take	dish	neutral
favorite meal montreal	meal	good
salad tempeh delicious	dish	good
service bit haphazard	service	bad
not_artificial processing custard	dish	neutral
portuguese custard pie	dish	neutral
meal thai	meal	neutral
triple chocolate cookie	food	neutral
not_disappointment discovering	dish	good
salad wanted order	dish	neutral
back later cheese	food	neutral
hot chocolate semi-sweet	food	good
service quick helpful	service	good
not_lunch delicious	meal	bad
not_brunch plank	meal	neutral
fries sauce salad	dish	neutral
great side salad	dish	good
regular breakfast spot	meal	neutral
apple cake really	dish	neutral
not_special chicken rotisserie	dish	neutral
good menu	menu	good
wonderful service	service	good
bubble tea	meal	neutral
not_charge much	cost	neutral
amazing service	service	good
slow food	food	bad
online menu beforehand	menu	neutral
not_house-made almond/coconut	food	neutral
chocolate cream filling	food	neutral
service fantastic	service	good
big mess	meal	bad
great breakfast option	meal	good
bite-sized dulce	meal	neutral
friend lunch	meal	neutral
delicious tea	meal	good
breakfast huge	meal	neutral
chocolate light	food	neutral
perfect breakfast lunch	meal	good
not_service pretty bad	service	neutral
not_newish chocolate place	food	neutral
christian faure breakfast	meal	neutral
service cheap	service	bad
not_chocolate- raspberry	food	neutral
full food	food	neutral
really disappointing	dish	bad
favorite breakfast place	meal	good
pricey side food	cost	bad
not_dark chocolate	food	good
salad menu	dish	neutral
oats chocolate	food	neutral
stafftakes interacfree wifionly	staff	neutral
white dark meat	food	bad
not_usually stop point	dish	neutral
quick breakfast simple	meal	neutral
special day	dish	neutral
menu overwhelmingly large	menu	bad
really goodservice fastambiance	service	neutral
not_place disappointed	dish	good
not_lunch following	meal	neutral
pastries unbelievably buttery	food	bad
especially cheese biscuit	dish	neutral
exceptional food	food	good
cheese food	food	neutral
reasonable food	food	good
chocolates single	food	neutral
especially die	dish	bad
waffle price estimation	cost	neutral
noodle salad	dish	neutral
not_meals amazing	meal	bad
chocolate topping lovely	food	good
healthy lunch	meal	good
not_guess tea n't	meal	neutral
creative brunch menu	meal	good
menu appropriately able	menu	neutral
great place brunch	meal	good
staff delicious	staff	good
milkshakes sundaes chocolate	food	neutral
aspect dish	dish	neutral
hot chocolate pleasant	food	good
brunch sante	meal	neutral
not_yuzu tea latte	meal	neutral
not_food extremely greasy	food	good
english breakfast	meal	neutral
real star meal	meal	neutral
real meal	meal	neutral
french spin breakfast	meal	neutral
not_much point time	dish	neutral
not_lunch tourist trap	meal	good
items brunch	meal	neutral
good food jome	food	good
not_single bite	meal	neutral
coconut bacon transfixed	food	neutral
not_sweet breakfast menu	meal	bad
single bite	meal	neutral
instead dark	meal	bad
butter/mayo thick	food	neutral
not_menu lot	menu	neutral
cheese bagel salmon	food	neutral
not_really sauerkraut-y	dish	neutral
varieties cream cheese	food	neutral
not_electronic payment	cost	neutral
not_menu regular	menu	neutral
colorful tea	meal	good
however non-food related	food	neutral
small salad	dish	neutral
carrot cake excellent	dish	good
instead savoury meal	meal	neutral
welcoming service	service	neutral
pricey think	cost	bad
not_tourisy diner breakfast	meal	neutral
butter-brown sugar sauce	food	neutral
food instead moving	meal	neutral
brunches speak	meal	neutral
colourful fish	food	neutral
rabe salad	dish	neutral
good service	service	good
not_atmosphere nice service	service	bad
decent price	cost	good
lesson customer service	service	neutral
big fan brunch	meal	neutral
not_n't bad service	service	good
bubble tea problem	meal	bad
cheeses extensive	food	neutral
not_service good	service	bad
great snack bring	meal	good
food acceptable	food	neutral
sandwich medium salad	dish	neutral
chocolate pretty good	food	good
everything daily lunch	meal	neutral
starving food	food	neutral
good lunch	meal	good
not_juices espressos teas	meal	neutral
healthy food joint	food	good
friendly staff fun	staff	good
proper lunch food	meal	good
food decently good	food	good
bbq place dinner	meal	neutral
almost pancake	dish	neutral
food adding new	food	neutral
try custard	dish	neutral
great breakfast	meal	good
not_menu n't	menu	neutral
food cafe	food	neutral
friendly staff loooooong	staff	good
croissant pudding	dish	neutral
breakfast really good	meal	good
goat cheese	food	neutral
ratings high-priced	cost	bad
sweet chocolate experience	food	good
not_special shout	dish	neutral
not_staff hospitable	staff	bad
jour tomato meatball	dish	neutral
normal place service	service	neutral
not_dish amazing	dish	bad
split meal	meal	bad
not_high quality chocolate	food	neutral
menu interesting	menu	good
foodie honeymoon	food	neutral
taiwanese dish	dish	neutral
cheese omelette	dish	neutral
not_tea n't	meal	neutral
not_skimp cheese	food	neutral
brunch coffee parlor	meal	neutral
not_knocking food	food	neutral
triple chocolate cake	dish	neutral
tea still good	meal	good
teas plethora	meal	neutral
monday morning staff	staff	neutral
usually favorite meal	meal	good
not_lacking chocolatey	food	good
noodle soup superb	dish	good
really specializes quality	dish	neutral
late breakfast	meal	neutral
mid-priced dining earn	cost	neutral
fresh salad	dish	good
bit pricey	cost	bad
not_first meal	meal	neutral
not_tea 're downtown	meal	neutral
expensive hotel breakfast	meal	bad
manakish cheese wrap	food	neutral
breakfast standpoint	meal	neutral
taro bubble tea	meal	neutral
breakfast brunch	meal	neutral
especially lunch hour	meal	neutral
beautiful food	food	good
breakfast flat	meal	neutral
service rather quick	service	neutral
polish chocolate	food	neutral
follow recommendation beer-meal	meal	good
great point food	dish	good
salad go whole	dish	neutral
not_cup cake	dish	neutral
soups fantastic	dish	good
coconut topping	food	neutral
indulgent try chocolate	food	good
killer brunch	meal	bad
fondue a-ok	dish	neutral
not_dissapointing factor	dish	neutral
add salad	dish	neutral
lattes teas	meal	neutral
stylish brunch spot	meal	good
pistachio cake	dish	neutral
prices make sure	cost	neutral
people breakfast	meal	neutral
sometimes disappointed	dish	bad
brunch toscan	meal	neutral
service pretty much	service	good
lunch saturday	meal	neutral
vegan butter	food	neutral
cheese salty taste	food	neutral
not_chickensalad healthy	dish	bad
atmosphere chocolate-themed restaurant	food	neutral
delicious chocolatey	food	good
partners soups	dish	neutral
salad killer	dish	bad
especially recommend	dish	good
prices make	cost	neutral
jams butter	food	neutral
pricey food experience	cost	bad
european style breakfast	meal	neutral
food looking somewhere	food	neutral
pudding chocolate	dish	neutral
not_fries salad ten	dish	neutral
little pricey	cost	bad
salads old	dish	neutral
not_high quality food	food	neutral
not_price reasonable	cost	bad
great brunch	meal	good
server knowledgable menu	menu	neutral
especially passion fruit	dish	good
soup traditional	dish	neutral
portuguese custard	dish	neutral
tea paris	meal	neutral
salads avocado salad	dish	neutral
dish fondue	dish	neutral
casual service	service	neutral
frequent plateau/mile	meal	neutral
yummmmmmmmm price list	cost	neutral
burger steak sous	meal	neutral
brunch l'atlantique salmon	meal	neutral
meat lasagna	food	neutral
not_incredibly flaky buttery	food	neutral
extent staff	staff	neutral
not_egg-cheese-bacon sandwich	food	neutral
skillfully drizzle chocolate	food	good
cheese butter chicken	food	neutral
good meal	meal	good
find food	food	neutral
little breakfast	meal	neutral
fine especially	dish	good
food always fresh	food	good
bite great	meal	good
not_meats actual	food	neutral
not_item menu	menu	neutral
not_interesting breakfast	meal	bad
food disappointing	dish	bad
salad quinoa good	dish	good
know food	food	neutral
well prepared food	food	good
not_sure chocolate milk	food	neutral
delicious food amazing	food	good
meat-free diet	food	neutral
huge chocolate	food	neutral
excellent service	service	good
good service roomy	service	good
not_people breakfast	meal	neutral
not_custard piece	dish	neutral
clean service	service	good
not_dish old	dish	neutral
white meat	food	neutral
service generally good	service	good
marshmallow pizza	dish	neutral
quick service	service	neutral
especially cubain	dish	neutral
dishes extra	dish	neutral
cheese fresh	food	good
buttery quite filling	food	neutral
instead specific	meal	neutral
nice quick lunch	meal	good
breakfast delicious	meal	good
typical café food	food	neutral
+friendly staff+complimentary bread	staff	neutral
prices seem right	cost	good
not_justifiable price	cost	neutral
main thing fondue	dish	neutral
breakfast place town	meal	neutral
broad menu interesting	menu	good
plentiful salmon brunch	meal	good
bites salad	meal	neutral
not_disappoints know empanadas	dish	good
flavours never disappoint	dish	bad
instead waiting hour	meal	neutral
possibly dinner	meal	neutral
home-cooked meal	meal	neutral
breakfast style	meal	neutral
not_bagels special	dish	neutral
not_tried chocolate	food	neutral
white chocolate brioche	food	neutral
brunch place le	meal	neutral
dishes include	dish	neutral
definitely pricey	cost	bad
much breakfast	meal	neutral
hot chocolate hint	food	good
entire menu	menu	neutral
wait staff	staff	neutral
twice breakfast visit	meal	neutral
simple lunch	meal	neutral
not_checked menu	menu	neutral
really great point	dish	good
not_feeling expense	cost	neutral
deliciousness goat cheese	food	neutral
meal affordable	meal	good
vast menu coffee	menu	neutral
service french	service	neutral
nice tea selection	meal	good
daily salad	dish	neutral
not_d'or cheese	food	neutral
radishes salad	dish	neutral
yogurt black	food	neutral
green salad feta	dish	neutral
price huge	cost	neutral
not_special event want	dish	neutral
teas flavor pretty	meal	good
bread especially hearing	dish	neutral
loaf bread	food	neutral
not_much fan cake	dish	neutral
not_enough meal	meal	bad
meal reasonable	meal	good
buttery melt-in-your-mouth	food	neutral
cheese chicken sort	food	neutral
brunch bowls dinner	meal	neutral
not_breakfast seem much	meal	neutral
want banana chocolate	food	neutral
slow cheesecake kinda	dish	bad
cheese homemade ketchup	food	neutral
food go rather	food	neutral
food worth	food	good
brunch outstanding	meal	good
instead drowning	meal	bad
chili warming	dish	neutral
not_service need quick	service	neutral
salad enormous amount	dish	neutral
professional wait staff	staff	neutral
not_perfectpolite friendly staffdo	staff	bad
nice food tasty	food	good
surprisingly side salad	dish	neutral
not_salmon cake	dish	neutral
leisurely chatting staff	staff	neutral
not_especially know order	dish	neutral
fruit cake top	dish	good
menu include convenient	menu	good
french style yogurt	food	neutral
anyone seeking salad	dish	neutral
not_large chili mekong	dish	neutral
soup pretty good	dish	good
chocolatey parisian	food	neutral
menu including	menu	neutral
terms consistency	cost	neutral
chili great	dish	good
food affordable	food	good
great tea coming	meal	good
omelette runny	dish	neutral
not_good breakfast snack	meal	bad
slow service	service	bad
not_service friendly	service	bad
not_last meal	meal	neutral
amazing pizzas	dish	good
slices cheese	food	neutral
always welcoming service	service	neutral
price reasonable	cost	good
breakfast adorable	meal	good
lunch olive	meal	neutral
asian sensation salad	dish	good
cheese beet puff	food	neutral
atmosphere great food	food	good
dish full	dish	neutral
great quality brunch	meal	good
not_delicious meaty savory	food	bad
actually really pricey	cost	bad
especially villa-marie	dish	neutral
specials sandwich soup/salad	dish	neutral
slow service waiter	service	bad
'm especially	dish	neutral
not_special crepe	dish	neutral
good quality/price meal	meal	good
le service	service	neutral
herbed goat cheese	food	neutral
food see	food	neutral
breakfast/lunch place	meal	neutral
good service prompt	service	good
short menu time	menu	neutral
attentive staff	staff	good
food modest	food	good
little meat	food	neutral
helpful staff	staff	good
sandwich stand salad	dish	neutral
good try soup	dish	good
're food	food	neutral
delicious food almond	food	good
not_breakfast cafe	meal	neutral
tea drink	meal	neutral
cheese delicious	food	good
not_cartet cheese	food	neutral
early lunch	meal	neutral
dessert lunch	meal	neutral
not_sure price calculation	cost	neutral
cheese almond chocolate	food	neutral
liked cake	dish	good
impressed gateau fauxmage	meal	good
not_many brunch	meal	neutral
delicious service	service	good
salmon cake cheese	dish	neutral
spread portuguese	meal	neutral
salad get	dish	neutral
fresh lunch	meal	good
latte ricotta cheese/honey/orange	food	neutral
food-style restaurant	food	neutral
tea coming next	meal	neutral
not_extravagant tasty breakfast	meal	good
fast nice service	service	good
brunch lovely dessert	meal	good
soup side	dish	neutral
chocolate extremely delicious	food	good
love chocolate	food	good
not_anything special	dish	neutral
breakfast dinner fan	meal	neutral
yoghurt bunch	food	neutral
meat ranging turkey	food	neutral
often lunch	meal	neutral
entire cake something	dish	neutral
phenomenal tomato/mozzarella salad	dish	good
cheesecake crepe	dish	neutral
extremely friendly service	service	good
dealing payment	cost	neutral
inexpensive food	food	good
chocolate part brunch	meal	neutral
sandwich choice lunch	meal	neutral
especially hot day	dish	good
however salmon cake	dish	neutral
sides fruit salad	dish	neutral
not_food visual	food	neutral
friggin salad please	dish	bad
dinner staying	meal	neutral
not_much coconut	food	neutral
meaty beany cowboy	food	neutral
not_pick cake fly	dish	neutral
boba instead matching	meal	neutral
chocolate belgian	food	neutral
staff welcoming	staff	neutral
cake ok	dish	neutral
chocolate oozing practically	food	neutral
not_breakfast bad	meal	good
well cheese cream	food	good
salad great	dish	good
not_savory breakfast salty	meal	neutral
knowledgable menu	menu	neutral
drizzle milk chocolate	food	neutral
good decent breakfast	meal	good
especially tmc croissant	dish	neutral
menu delicious	menu	good
lunch time sit	meal	neutral
expecting chocolate	food	neutral
table service takeout	service	neutral
not_'lazy breakfast	meal	neutral
soup generous	dish	good
atmosphere friendly staff	staff	good
cheese vegetable	food	neutral
lallouz team exceptional	meal	good
not_service necessarily attentive	service	bad
not_enough food	food	bad
soups food	dish	neutral
pudding start	dish	neutral
not_healthy food dragon	food	bad
choices disappointing	dish	bad
not_worth price	cost	bad
brunches original	meal	neutral
really sparse menu	menu	neutral
not_salad good	dish	bad
service clean	service	good
not_starting lunch	meal	neutral
chocolate almond	food	neutral
bakery snacking	meal	neutral
store food	food	neutral
not_french toast breakfast	meal	neutral
cinnamon/sugar/cloves chocolate	food	neutral
cakes probably personal	dish	neutral
meal already didnt	meal	neutral
great omelette poutine	dish	good
cheese show	food	neutral
anything meal	meal	neutral
salads wonderful well	dish	good
staff friendly great	staff	good
food good	food	good
food make	food	neutral
hummus butter	food	neutral
go-to brunch place	meal	neutral
soup good	dish	good
eggs breakfast	meal	neutral
service little	service	neutral
brunch mimosa 're	meal	neutral
not_delicious chocolate	food	bad
food tasty	food	neutral
first meal montreal	meal	neutral
organic food end	food	neutral
tasty fake cheesecakei	dish	bad
not_menu heavy	menu	neutral
excellent wait staff	staff	good
bfast lunch dinner	meal	neutral
not_special trip eat	dish	neutral
especially parking snafu	dish	neutral
cheese sandwich	food	neutral
entire meal	meal	neutral
delicious ham cheese	food	good
not_relaxing meal	meal	neutral
not_fries side salad	dish	neutral
sandwiches fine especially	dish	good
not_breakfast next	meal	neutral
meats farm fresh	food	good
breakfast go back	meal	neutral
competent dish	dish	neutral
diverse menu	menu	neutral
not_time sometimes meal	meal	neutral
instead standing	meal	neutral
salad run	dish	neutral
salad hanging	dish	neutral
especially tuna	dish	neutral
not_tasty price	cost	neutral
frittata hot	dish	good
consistent spicy meat	food	good
breakfasts yummy	meal	neutral
not_brunch begin	meal	neutral
not_service nice	service	bad
little custard top	dish	good
good food price	cost	good
chocolate rich	food	good
especially skewer	dish	neutral
different type food	food	neutral
not_hot chocolate need	food	bad
service good	service	good
definitely must-go lunch	meal	neutral
special everyday	dish	neutral
not_probably enough breakfast	meal	bad
lunch local	meal	neutral
courteous service fun	service	good
dish bagel	dish	neutral
instead flavorful	meal	neutral
early dinner chez	meal	neutral
payments make	cost	neutral
worth price	cost	good
breakfast city montreal	meal	neutral
excellent chocolate croissant	food	good
seinfeld staff sooo	staff	neutral
not_salad granola	dish	neutral
sublime breakfast	meal	good
meal thing hate	meal	bad
late dinner	meal	neutral
not_wait staff	staff	neutral
menu small	menu	neutral
chocolate/cocoa good	food	good
instead good	meal	good
salads fresh	dish	good
breakfast right	meal	good
messy eat	meal	bad
especially kvass	dish	neutral
pricey none	cost	bad
growing lunch	meal	neutral
benedicts dish really	dish	neutral
surprisingly fresh salad	dish	good
finishing meal	meal	neutral
half-way applesauce apple	dish	neutral
staff pretty friendly	staff	good
portuguese barbecue chicken	dish	neutral
meals foodie	meal	neutral
not_delicious tea food	meal	bad
know meat	food	neutral
service give	service	neutral
salad combo	dish	neutral
not_cake bit	dish	neutral
not_think dish	dish	neutral
meats skillet	food	neutral
steal montreal	meal	bad
brunch ok nothing	meal	neutral
visually appealing point	dish	good
dessert cup tea	meal	neutral
tea perfect	meal	good
chicken salad	dish	neutral
dry pasta	dish	neutral
not_service see lot	service	neutral
little chocolate	food	neutral
not_instead buying store	meal	neutral
barely sweet custard	dish	good
not_excellent brunch	meal	bad
not_yet pricey	cost	good
much food money	food	neutral
lunch quick	meal	neutral
receive food	food	neutral
pretty pricey	cost	neutral
buttery croissant goat	food	neutral
cons -pricey	cost	bad
not_lunch get early	meal	neutral
pecan chocolate cookie	food	neutral
cakes mango	dish	neutral
nice meal	meal	good
tmc breakfast sandwich	meal	neutral
dangerous item food	food	bad
service really fast	service	good
nice brunch	meal	good
similarly specializes decadent	dish	bad
stars service	service	neutral
acceptable breakfast wouldnt	meal	neutral
pretty good menu	menu	good
basically buttery dough	food	neutral
beautiful salad	dish	good
not_food actually good	food	bad
food wonderful	food	good
healthy bite	meal	good
salad worth	dish	good
chocolate brownie	food	neutral
not_brunch service	meal	neutral
not_breakfast hot	meal	bad
not_popular lunch spot	meal	bad
dish soap	dish	neutral
not_tasty meal	meal	neutral
really good salad	dish	good
not_mistaken charge	cost	good
not_menu already small	menu	neutral
philadelphia cream cheese	food	neutral
not_light sponge cake	dish	neutral
dinner roll	meal	neutral
twice time staff	staff	neutral
produce wonderfully	food	good
swiss cheese	food	neutral
pancake fruit	dish	neutral
chocolate-ricotta pizza	dish	neutral
pastries especially passion	dish	good
not_ordering food	food	neutral
expensive menu item	menu	bad
inexpensive breakfast juicy	meal	good
not_meal n't memorable	meal	bad
triple chocolate	food	neutral
not_breakfast long	meal	neutral
food atmosphere al-baghdadi	food	neutral
especially delicious	dish	good
not_full dinner	meal	neutral
fruit chocolate dip	food	neutral
cheese cake	dish	neutral
salad working	dish	neutral
prices generous	cost	good
not_salads unique	dish	neutral
cheese almond date	food	neutral
large quantity food	food	neutral
food friendly	food	good
grabbing lunch	meal	neutral
grilled cheese	food	neutral
not_staff incredibly cool	staff	bad
food various	food	neutral
tea parking isnt	meal	neutral
disappointed nothing	dish	bad
not_standard brunch fare	meal	neutral
white chocolate sauce	food	neutral
simple cream cheese	food	neutral
service slow often	service	bad
not_chocolate extra	food	neutral
tea latte+friendly staff+free	staff	neutral
rich chocolate	food	good
soup filling enough	dish	good
prepared food	food	neutral
nothing necessarily special	dish	neutral
food quite good	food	good
not_buttery croissant n't	food	neutral
well quite disappointed	dish	neutral
bread cheese	food	neutral
nice salad	dish	good
really fast food	food	good
not_chocolate much	food	neutral
staff really friendly	staff	good
chocolate think	food	neutral
ever hankering chocolate	food	neutral
fast food	food	good
sunday brunch fortunate	meal	good
not_d+chai latte+friendly service	service	neutral
tear*wow disappointing	meal	bad
lunch late	meal	neutral
totally possible dinner	meal	neutral
food welcome	food	good
tea real	meal	neutral
unique breakfast def	meal	neutral
point pretty good	dish	good
butter fresh	food	good
lunch 're	meal	neutral
brunch sante brunch	meal	neutral
warm chocolate croissant	food	good
lively brunch house	meal	good
not_dish way	dish	neutral
amazing brunch	meal	good
fantastic food	food	good
cheese spinach	food	neutral
right lunchtime monday	meal	good
choices autumn salad	dish	neutral
awesome place lunch	meal	good
salad fresh	dish	good
