Feature	 Category 	 Polarity 
never disappointing choice	dish	bad
well fish	food	good
food fresh	food	good
not_authentic food staff	staff	bad
vegetable biryani naan	dish	neutral
not_ricotta special	dish	bad
oysters fish	food	neutral
disappointing friday dinner	meal	bad
amazing chocolate	food	good
not_goats milk cheese	food	neutral
unforgettable meal	meal	good
not_food authentic	food	bad
wide variety food	food	good
little salad	dish	neutral
seat instead cranking	meal	bad
first meal true	meal	neutral
outstanding dinner experience	meal	good
not_hunting fishing	food	neutral
not_eating salad	dish	neutral
cheese extraction	food	neutral
dishes averaging	dish	bad
great value price	cost	good
hot melting cheese	food	good
become costly guilty	cost	bad
chocolate-covered orange rind	food	neutral
not_decent food k-pop	food	bad
meal fantastic	meal	good
delicious pricey	cost	neutral
last meal montreal	meal	neutral
not_vegetable recall point	dish	neutral
daily fish	food	neutral
service outstanding	service	good
single dish classy	dish	good
first class service	service	good
not_sushi dining good	dish	bad
tears dining	meal	neutral
not_cheese bottom	food	neutral
separate food	food	neutral
food always great	food	good
service friendly attentive	service	good
pancake thick	dish	neutral
fish bison	food	neutral
lemonade chili-blackberry	dish	neutral
noodles meat	food	neutral
goat cheese latka	food	neutral
great price	cost	good
instead using rice	meal	neutral
not_regarding food	food	neutral
day special	dish	neutral
knowledgeable menu	menu	good
service little spotty	service	bad
dishes make extraordinary	dish	good
healthy food great	food	good
not_special note	dish	neutral
food good	food	good
pretty meat-ed point	dish	good
food small	food	neutral
full lunch colleague	meal	neutral
not_eating yogurt	food	neutral
wonderful family dinner	meal	good
staff moving	staff	neutral
custard top	dish	good
overall service	service	neutral
service high	service	good
omelets make	dish	neutral
tongue first dish	dish	good
pretty amazing meal	meal	good
not_definitely worth price	cost	bad
special flavor	dish	good
point go	dish	neutral
beet salad	dish	neutral
lovely dish tostada	dish	good
've lunch dinner	meal	neutral
not_particular risotto salty	dish	neutral
fine high-priced	cost	neutral
dish better	dish	good
serves breakfast	meal	neutral
bits tempura	dish	neutral
fantastic meal friend	meal	good
menu small	menu	neutral
meal individual	meal	neutral
service counter-style	service	neutral
white fish butter	food	neutral
service many	service	neutral
gras tuna dish	dish	neutral
delicious addition meal	meal	good
delicious mac cheese	food	good
service timing	service	neutral
helpful service desk	service	good
amazing service	service	good
wonderful food	food	good
biscuits delicate cheese	food	good
considering price	cost	neutral
wonderful meal met	meal	good
crispy warm steak	meal	good
boustan never disappointing	dish	bad
food beautiful	food	good
dog mac-n-cheese	food	neutral
salad hanging	dish	neutral
not_salad kick	dish	neutral
decorative menu	menu	good
japanese food 'm	food	neutral
dish foot-long	dish	neutral
meal surprisingly affordable	meal	good
crappy service	service	bad
instead real cheese	meal	neutral
previous post price	cost	neutral
waitstaff friendly funny	staff	good
really special	dish	good
service friendly accommodating	service	good
instead smokey nose	meal	neutral
césar saladsurf turf	dish	neutral
bite-sized bread pudding	meal	neutral
cheese frosting	food	neutral
not_wrong food good	food	neutral
service go	service	neutral
top food top	food	good
entire menu great	menu	good
not_regular price	cost	neutral
instead plate smoke	meal	bad
fantastic food	food	good
special got appreciate	dish	good
not_especially oiliness	dish	neutral
garlic butter	food	neutral
pomegranate dish	dish	neutral
impeccable service elegant	service	good
not_prices unreasonable	cost	good
sauce pudding fantastic	dish	good
great sushi place	dish	good
bread bite-sized	meal	neutral
much delicious food	food	good
worth price	cost	good
not_staff trying	staff	neutral
staff working	staff	neutral
marshmallow chocolate-covered	food	neutral
points open	dish	neutral
menu good	menu	good
not_curry 've	dish	neutral
dish tangy	dish	neutral
staff knowledgeable	staff	good
nice dinner	meal	good
memorable meal	meal	good
back steak	meal	neutral
breakfasts agree	meal	neutral
soup making	dish	neutral
special place	dish	neutral
price expect	cost	neutral
romantic dinner	meal	good
instead good	meal	good
meat place	food	neutral
little bit meat	food	neutral
flaky buttery	food	bad
interactive food	food	neutral
meal awesome	meal	good
payment unnecessarily slow	cost	bad
delicious food	food	good
high quality food	food	good
-because obviously mac-n-cheese-	food	neutral
not_main dish	dish	neutral
meal exceptional	meal	good
not_amazing food	food	bad
not_reviews disappoint	dish	good
not_bars post-dinner	meal	neutral
not_table lunch time	meal	neutral
pretty cool price	cost	good
service consistently excellent	service	good
bite amazing ate	meal	good
prices reasonable	cost	good
delicious beginning meal	meal	good
not_good dish	dish	bad
servicecons possible	service	neutral
meal true disappointment	meal	bad
service attentive	service	good
crumbly buttery goodness	food	good
meals large	meal	neutral
not_disappointments top-scale	dish	good
dish pretty	dish	good
saint sushi bar	dish	good
pricey well worth	cost	good
special cobia good	dish	good
save special	dish	neutral
points get	dish	neutral
menu really	menu	neutral
not_food phenomenal	food	bad
especially french bistro	dish	neutral
good food love	food	good
excellent pot cheesecake	dish	good
salad much seasoning	dish	neutral
not_lebanese food	food	neutral
salmon sashimi apple	dish	neutral
not_deliciously soupy	dish	bad
menus available	menu	good
indian dinner home	meal	neutral
chocolate lollipop	food	neutral
patty large	dish	neutral
dish memorable	dish	good
'll start food	food	neutral
normally prefer meal	meal	good
forward meal awesome	meal	good
not_good money dinner	meal	bad
not_dinner overall	meal	neutral
picnic concept think	meal	neutral
homemade food	food	neutral
service top	service	good
not_soup n't boiling	dish	good
worth try lunch-snack	meal	good
price reasonable	cost	good
food craving	food	good
make special	dish	neutral
back tear	meal	neutral
home-cooking korean food	food	neutral
relatively authentic soup	dish	good
not_especially several	dish	neutral
good food nice	food	good
not_already flavorful seafood	food	bad
end meal	meal	neutral
upscale french dinner	meal	good
custard much sweet	dish	good
meat delicious	food	good
special job budget	dish	neutral
food enjoyable	food	good
mess 're	meal	bad
coffee really special	dish	good
goat cheese salad	dish	neutral
menu well great	menu	good
kimchi food	food	neutral
sushi strongly recommend	dish	good
not_menu finally decent	menu	bad
gelatinous custard	dish	neutral
several savory brunch	meal	good
courteous service	service	good
